"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"21","관광펜션업","03_11_02_P","4620000","CDFI3261092007000004","20070227","","03","폐업","03","폐업","20141209","","","","","","357952","충청남도 태안군 남면 양잠리 1232-7번지","충청남도 태안군 남면 안면대로 1308","357952","쉘브르","20141210114154","I","2018-08-31 23:59:59.0","","137852.252971","349061.626803","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22","관광펜션업","03_11_02_P","4620000","CDFI3261092017000011","20170828","","03","폐업","03","폐업","20190516","","","","","","","충청남도 태안군 남면 양잠리 1230-28번지","충청남도 태안군 남면 청포대길 84-0","32155","파티파티","20190520092502","U","2019-05-22 02:40:00.0","","137548.894217","349159.989879","관광펜션업","","","3","","","","숙박시설","3","1","","","","","","","","","","","","884.88","","","","","","","","","","","","","885",
"23","관광펜션업","03_11_02_P","4620000","CDFI3261092018000002","20180527","","03","폐업","03","폐업","20200210","","","","","","","충청남도 태안군 고남면 고남리 829번지","충청남도 태안군 고남면 옷점길 147-102","32172","안면도갤러리","20200211110747","U","2020-02-13 02:40:00.0","","146483.691413","323745.618203","관광펜션업","","관리지역","3","기타","","","숙박시설","2","1","","","","","","","","","","","","281.62","","","","","","","","","","","","","282",
"24","관광펜션업","03_11_02_P","4620000","CDFI3261092012000005","20120612","","03","폐업","03","폐업","20190411","","","","","","","충청남도 태안군 남면 달산리 319-23번지 숙박시설","충청남도 태안군 남면 안면대로 1110-30","32154","그람피하우스","20190411182302","U","2019-04-13 02:40:00.0","","138056.057065","350795.723034","관광펜션업","","관리지역","","기타","","","숙박시설","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","관광펜션업","03_11_02_P","4620000","CDFI3261092010000009","20100901","","03","폐업","03","폐업","20141211","","","","041-675-6567","","357952","충청남도 태안군 남면 양잠리 1230-14번지","","","샤론","20141215133914","I","2018-08-31 23:59:59.0","","137508.920412","349318.174969","관광펜션업","","","3","기타","","","숙박시설","3","","","","","","","","","","","","","790.78","","","","","","","","","800000000","","","","791",
"26","관광펜션업","03_11_02_P","4620000","CDFI3261092010000010","20101015","","03","폐업","03","폐업","20140916","","","","041-675-5890","","357953","충청남도 태안군 남면 신온리 323-9번지","충청남도 태안군 남면 마검포길 104-108","","지오랜드","20170313092117","I","2018-08-31 23:59:59.0","","137684.09906","347008.854698","관광펜션업","","관리지역","1","기타","","","숙박시설","1","","","","","","","","","","","","","149.04","","","","","","","","","150000000","","","","149",
"27","관광펜션업","03_11_02_P","4620000","CDFI3261092011000003","20110907","","03","폐업","03","폐업","20210201","","","","041-675-0059","","","충청남도 태안군 남면 원청리 512-135","충청남도 태안군 남면 청포대길 57-60","32157","더클래식","20210202172956","U","2021-02-04 02:40:00.0","","137477.731737","348607.251074","관광펜션업","","","4","기타","","","숙박시설","3","1","","","","","","","","","","","","813.39","","","","","","","","","","","","","813",
"28","관광펜션업","03_11_02_P","3570000","CDFI3261092018000003","20181227","","03","폐업","03","폐업","20191119","","","","","","","인천광역시 강화군 하점면 장정리 479-1번지","인천광역시 강화군 하점면 장정양오길 86-26, 고인돌펜션","23014","고인돌펜션","20191120100728","U","2019-11-22 02:40:00.0","","149875.742907193","475238.752665112","관광펜션업","","","2","","","","단독주택","2","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"29","관광펜션업","03_11_02_P","5370000","CDFI3261092019000001","20190125","","03","폐업","03","폐업","20191224","","","","","","","경상남도 거제시 동부면 학동리 123-5번지","경상남도 거제시 동부면 수산2길 11-8","53332","블루인블루펜션","20191224095508","U","2019-12-26 02:40:00.0","","351325.100892413","143513.259028905","관광펜션업","","보전녹지지역","1","기타","","","단독주택","1","0","","","","","","","","","","","","224.01","","","","","","","","","100000000","","","","224",
"30","관광펜션업","03_11_02_P","5050000","CDFI3261092004000001","20041027","","03","폐업","03","폐업","20170907","","","","775-7750","","","경상북도 경주시 감포읍 감포리 549-1번지 2리","경상북도 경주시 감포읍 감포로 93","38125","하얀둥지관광펜션","20170908091554","I","2018-08-31 23:59:59.0","","426047.060706748","258737.579626406","관광펜션업","관광사업","일반주거지역","2","","","","다가구용 주택(공동주택적용)","2","","","","","","","","","","","","","370.86","","","","","","","","","","","","","371",
"31","관광펜션업","03_11_02_P","5050000","CDFI3261092010000015","20101209","","03","폐업","03","폐업","20170907","","","","054-744-9090","","","경상북도 경주시 보문동 531-3번지","경상북도 경주시 보문마을4길 27 (보문동)","38175","KB펜션","20170908091607","I","2018-08-31 23:59:59.0","","403688.560765659","261468.292085413","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"32","관광펜션업","03_11_02_P","5050000","CDFI3261092010000016","20101228","","03","폐업","03","폐업","20170828","","","","054-777-5266","","","경상북도 경주시 하동 254-2번지","경상북도 경주시 하동분접안길 14-17 (하동)","38126","올리브하우스","20170829094431","I","2018-08-31 23:59:59.0","","408279.66783593","258696.38860553","관광펜션업","","","3","기타","","","","","","","","","","","","","","","","","144.22","","","","","","","","","","","","","144",
"33","관광펜션업","03_11_02_P","5050000","CDFI3261092011000001","20110118","","03","폐업","03","폐업","20141217","","","","","","780852","경상북도 경주시 내남면 안심리 416번지","","","하늘터밭","20141218085247","I","2018-08-31 23:59:59.0","","393790.294863871","250671.83292533","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"34","관광펜션업","03_11_02_P","5050000","CDFI3261092011000002","20110308","","03","폐업","03","폐업","20170906","","","","","","","경상북도 경주시 구정동 17번지","경상북도 경주시 새골길 85-11 (구정동)","38128","오아시스","20170906172344","I","2018-08-31 23:59:59.0","","408392.277510296","256980.761659138","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"35","관광펜션업","03_11_02_P","5050000","CDFI3261092011000003","20110420","","03","폐업","03","폐업","20170908","","","","742-2432","","","경상북도 경주시 외동읍 신계리 816-1번지","경상북도 경주시 외동읍 신계하신길 47-9","38210","퓨어펜션","20170908160955","I","2018-08-31 23:59:59.0","","409835.461380855","255117.961405196","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"36","관광펜션업","03_11_02_P","5050000","CDFI3261092011000004","20110609","","03","폐업","03","폐업","20150225","","","","054-771-0755","","780270","경상북도 경주시 천군동 862-14번지","","","아띠무아","20150226090245","I","2018-08-31 23:59:59.0","","406786.938673408","259951.381956232","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000000","","","","",
"37","관광펜션업","03_11_02_P","5050000","CDFI3261092011000005","20110831","","03","폐업","03","폐업","20150316","","","","","","780843","경상북도 경주시 양남면 신대리 461-1번지","","","워너비","20150316181052","I","2018-08-31 23:59:59.0","","416956.137240873","245784.926638786","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"38","관광펜션업","03_11_02_P","5050000","CDFI3261092006000001","20061017","","03","폐업","03","폐업","20170906","","","","742-2207","","","경상북도 경주시 하동 502-3번지","경상북도 경주시 하동못안길 63 (하동)","38126","라끄베르펜션","20170907105937","I","2018-08-31 23:59:59.0","","408736.092969803","258402.497825088","관광펜션업","관광사업","","3","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"39","관광펜션업","03_11_02_P","5050000","CDFI3261092009000001","20090617","","03","폐업","03","폐업","20170915","","","","774-7563","","","경상북도 경주시 내남면 노곡리 115-4번지","경상북도 경주시 내남면 백운대길 210","38198","남산자락펜션","20170914171516","I","2018-08-31 23:59:59.0","","403121.231268263","252487.710414998","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"40","관광펜션업","03_11_02_P","5050000","CDFI3261092010000001","20100223","","03","폐업","03","폐업","20170914","","","","772-5959","","","경상북도 경주시 하동 193번지","경상북도 경주시 보불로 204-8 (하동)","38126","첨성대관광펜션","20170914154439","I","2018-08-31 23:59:59.0","","409018.581432683","258361.301146687","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"41","관광펜션업","03_11_02_P","5050000","CDFI3261092010000002","20100223","","03","폐업","03","폐업","20170825","","","","745-0350","","","경상북도 경주시 하동 748-10번지","경상북도 경주시 하동1길 42 (하동)","38126","엉클톰스케빈 관광펜션","20170828090332","I","2018-08-31 23:59:59.0","","408726.260706845","257458.408030574","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"42","관광펜션업","03_11_02_P","5050000","CDFI3261092010000003","20100223","","03","폐업","03","폐업","20170616","","","","772-7728","","","경상북도 경주시 하동 253-1번지","경상북도 경주시 하동분접안길 14-13 (하동)","38126","아델리아 관광펜션","20170619133129","I","2018-08-31 23:59:59.0","","408319.564861898","258706.216953988","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"43","관광펜션업","03_11_02_P","5050000","CDFI3261092010000004","20100607","","03","폐업","03","폐업","20170908","","","","","","","경상북도 경주시 황용동 25-1번지","경상북도 경주시 추원길 232-4 (황용동)","38115","자연향기 펜션","20170908170551","I","2018-08-31 23:59:59.0","","414018.538390625","261066.394175393","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"44","관광펜션업","03_11_02_P","5050000","CDFI3261092010000005","20100607","","03","폐업","03","폐업","20170908","","","","","","","경상북도 경주시 하동 654번지","경상북도 경주시 보불로 126-72 (하동)","38126","폴라리스 펜션","20170908171426","I","2018-08-31 23:59:59.0","","409230.130957233","257501.917733143","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"45","관광펜션업","03_11_02_P","5050000","CDFI3261092010000006","20100607","","03","폐업","03","폐업","20170908","","","","","","","경상북도 경주시 진현동 449번지","경상북도 경주시 진티길 37-4 (진현동)","38127","노비오스 펜션","20170908165405","I","2018-08-31 23:59:59.0","","410626.415440537","256049.39391324","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","관광펜션업","03_11_02_P","5050000","CDFI3261092010000007","20100607","","03","폐업","03","폐업","20160926","","","","","","","경상북도 경주시 하동 253번지","경상북도 경주시 하동분접안길 14-22 (하동)","38126","베네치아 펜션","20160927100820","I","2018-08-31 23:59:59.0","","408330.941399102","258738.185932589","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"47","관광펜션업","03_11_02_P","5050000","CDFI3261092010000008","20100607","","03","폐업","03","폐업","20120117","","","","741-5353","","780270","경상북도 경주시 천군동 449번지","경상북도 경주시 경감로 504-24 (천군동)","780270","보문호수 펜션","20120117165629","I","2018-08-31 23:59:59.0","","405776.882587689","261613.267397822","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"48","관광펜션업","03_11_02_P","5050000","CDFI3261092010000009","20100810","","03","폐업","03","폐업","20170802","","","","054-741-6469","","","경상북도 경주시 하동 124-3번지","경상북도 경주시 보불로 190-9 (하동)","38126","풍차펜션","20170802112030","I","2018-08-31 23:59:59.0","","409163.995320427","258112.160730971","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"49","관광펜션업","03_11_02_P","5050000","CDFI3261092010000010","20101009","","03","폐업","03","폐업","20170908","","","","","","","경상북도 경주시 천군동 1444-2번지","경상북도 경주시 천군1길 22-2 (천군동)","38118","뉴월드펜션","20170908164423","I","2018-08-31 23:59:59.0","","405670.891121345","261540.236733813","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"50","관광펜션업","03_11_02_P","5050000","CDFI3261092010000011","20101009","","03","폐업","03","폐업","20170908","","","","","","","경상북도 경주시 천군동 1444-6번지","경상북도 경주시 천군1길 22-1 (천군동)","38118","보문월드펜션","20170908164142","I","2018-08-31 23:59:59.0","","405691.647987549","261528.065016179","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"51","관광펜션업","03_11_02_P","5050000","CDFI3261092010000012","20101009","","03","폐업","03","폐업","20170908","","","","","","","경상북도 경주시 천군동 1444-6번지","경상북도 경주시 천군1길 22-1 (천군동)","38118","보문레이크펜션","20170908164317","I","2018-08-31 23:59:59.0","","405691.647987549","261528.065016179","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"52","관광펜션업","03_11_02_P","5050000","CDFI3261092011000006","20111124","","03","폐업","03","폐업","20150302","","","","","","780420","경상북도 경주시 구정동 292-5번지","경상북도 경주시 새골길 49-37 (구정동)","780420","경주 통나무 펜션","20150304101400","I","2018-08-31 23:59:59.0","","408062.66841154","256575.154609345","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"53","관광펜션업","03_11_02_P","5050000","CDFI3261092012000001","20120109","","03","폐업","03","폐업","20130522","","","","","","780410","경상북도 경주시 마동 507번지","경상북도 경주시 정자안길 56 (마동)","780410","자연주의 펜션","20130522144246","I","2018-08-31 23:59:59.0","","409337.45532438","256078.435255863","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"54","관광펜션업","03_11_02_P","5050000","CDFI3261092010000013","20101029","","03","폐업","03","폐업","20161227","","","","","","","경상북도 경주시 하동 115-3번지","경상북도 경주시 보불로 174-29 (하동)","38126","하늘호수","20161227113248","I","2018-08-31 23:59:59.0","","409240.611222136","258100.552414669","관광펜션업","","","","","","","","","","","","Sky Lake Tourism Pension","Tourism Pension","","","","","","","","","","","","","","","","","","","","","",
"55","관광펜션업","03_11_02_P","5050000","CDFI3261092010000014","20101108","","03","폐업","03","폐업","20151204","","","","741-7973","","780844","경상북도 경주시 양남면 읍천리 342-4번지","","","바다풍경펜션","20160104113033","I","2018-08-31 23:59:59.0","","423907.904078929","246026.258678859","관광펜션업","","","","","","","","","","","","Sealandscape Tour Pension","Tourism Pension","","","","","","","","","","","","","","","","","","","","","",
"56","관광펜션업","03_11_02_P","5050000","CDFI3261092012000003","20121011","","03","폐업","03","폐업","20170906","","","","054-777-2001","","780410","경상북도 경주시 마동 182-16번지","경상북도 경주시 새골1길 13-14 (마동)","38126","파비앙","20170906172416","I","2018-08-31 23:59:59.0","","408534.470133811","256761.92184702","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"57","관광펜션업","03_11_02_P","5050000","CDFI3261092012000005","20121025","","03","폐업","03","폐업","20170907","","","","774-3966","","780430","경상북도 경주시 하동 256-2번지","경상북도 경주시 하동분접안길 14-16 (하동)","38126","보문해피데이","20170908091323","I","2018-08-31 23:59:59.0","","408350.400865375","258801.375392321","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"58","관광펜션업","03_11_02_P","5050000","CDFI3261092012000006","20121106","","03","폐업","03","폐업","20170913","","","","","","780843","경상북도 경주시 양남면 수렴리 83번지","경상북도 경주시 양남면 양남로 225-14","38220","리멤버","20170914091430","I","2018-08-31 23:59:59.0","","422841.17239719","243648.493708389","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"59","관광펜션업","03_11_02_P","5050000","CDFI3261092013000002","20131008","","03","폐업","03","폐업","20170906","","","","","","780430","경상북도 경주시 하동 740-6번지","경상북도 경주시 하동1길 23 (하동)","38126","펜션 프라하","20170906172308","I","2018-08-31 23:59:59.0","","408875.014540892","257502.015904943","관광펜션업","","생산녹지지역","2","","","","단독주택","2","","","","","","","","","","","","","229.82","","","","","","","","","","","","","230",
"60","관광펜션업","03_11_02_P","5050000","CDFI3261092013000003","20131114","","03","폐업","03","폐업","20170908","","","","","","780430","경상북도 경주시 하동 83-13번지","경상북도 경주시 보불로 126-45 (하동)","38126","다람쥐와도토리 펜션","20170908161007","I","2018-08-31 23:59:59.0","","409473.615848647","257559.054533479","관광펜션업","","보전녹지지역","2","","","","단독주택","2","","","","","","","","","","","","","218.6","","","","","","","","","","","","","219",
"61","관광펜션업","03_11_02_P","5050000","CDFI3261092014000002","20140618","","03","폐업","03","폐업","20151202","","","","0547438389","","780400","경상북도 경주시 진현동","경상북도 경주시 진티길 11 (진현동)","38127","설레임스토리","20151203175629","I","2018-08-31 23:59:59.0","","410404.757170926","256075.384598122","관광펜션업","","주거지역","2","주택가주변","","","단독주택","2","0","","","","","","","","","","","","85.08","","","","","","","","","650000000","","","","85",
"62","관광펜션업","03_11_02_P","5050000","CDFI3261092014000003","20140618","","03","폐업","03","폐업","20150217","","","","0547776104","","780430","경상북도 경주시 하동","경상북도 경주시 보불로 190-11 (하동)","780430","두번째설레임","20150225092812","I","2018-08-31 23:59:59.0","","409185.669516223","258105.673518501","관광펜션업","","자연녹지지역","2","기타","","","단독주택","2","0","","","","","","","","","","","","104.82","","","","","","","","","10000000","","","","105",
"63","관광펜션업","03_11_02_P","5050000","CDFI3261092014000004","20140716","","03","폐업","03","폐업","20170904","","","","0547466428","","780430","경상북도 경주시 하동","경상북도 경주시 하동분접안길 14-24 (하동)","38126","띠아모펜션","20170904153711","I","2018-08-31 23:59:59.0","","408281.053147016","258749.427906871","관광펜션업","","보전녹지지역","2","기타","","","단독주택","2","0","","","","","","","","","","","","131.75","","","","","","","","","","","","","132",
"64","관광펜션업","03_11_02_P","5260000","CDFI3261092014000001","20140307","","03","폐업","03","폐업","20150724","","","","","","799803","경상북도 울릉군 울릉읍 사동리 383-18번지","경상북도 울릉군 울릉읍 사동2길 190","799803","울릉관광펜션","20150723164708","I","2018-08-31 23:59:59.0","","543749.298678565","449618.789409605","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Ulleung Tourism Pension","Tourism Pension","","","","","","","","245.79","","","","","","","","","","","","","246",
